,label,count,label_clean
1424,putative histone H3 binding site,2363,histone h3 binding site
1425,5S rRNA binding site,2360,5s rrna binding site
1426,ACT_SITE: Nucleophile; methyl group acceptor from phosphotriester.,2350,act_site: nucleophile; methyl group acceptor from phosphotriester
1427,ACT_SITE: Nucleophile; methyl group acceptor from either O6-methylguanine or O4-methylthymine.,2350,act_site: nucleophile; methyl group acceptor from either o6 methylguanine or o4 methylthymine
1428,Active Site,2346,active site
1429,stabilizes substrate phosphoryl group,2337,stabilizes substrate phosphoryl group
1430,general acid (donates proton to leaving group); Mg2+ ligand,2337,general acid (donates proton to leaving group); mg2+ ligand
1431,aromatic box (binds sbst),2337,aromatic box (binds sbst)
1432,SITE: Binds DNA in crRNA-target DNA heteroduplex.,2328,site: binds dna in crrna target dna heteroduplex
1433,S11 protein interface,2327,s11 protein interface
1434,SITE: Interacts with free ubiquitin.,2320,site: interacts with free ubiquitin
1435,18S rRNA binding interface,2307,18s rrna binding interface
1436,METAL: Calcium; via 3-oxoalanine.,2291,metal: calcium; via 3 oxoalanine
1437,SUMO-1 interface,2287,sumo 1 interface
1438,eIF2B interation site,2264,eif2b interation site
1439,acceptor binding site,2255,acceptor binding site
1440,substrate binding,2230,substrate binding
1441,Binuclear center (heme o3/CuB),2216,binuclear center (heme o3/cub)
1442,Low-spin heme (heme b) binding site,2210,low spin heme (heme b) binding site
1443,Putative ubiquinol binding site,2196,ubiquinol binding site
1444,REGION: Important for donor substrate binding.,2193,region: important for donor substrate binding
1445,EF1A interaction surface,2164,ef1a interaction surface
1446,apical/protease domain interface,2154,apical/protease domain interface
1447,oligomer interface 1,2135,oligomer interface 1
1448,Positions general acid/base Asp,2130,positions general acid/base asp
1449,linker region,2126,linker region
1450,putative DNA binding cleft,2118,dna binding cleft
1451,ACT_SITE: Schiff-base intermediate with substrate; via topaquinone.,2079,act_site: schiff base intermediate with substrate; via topaquinone
1452,octamer interface,2078,octamer interface
1453,FEN1-PCNA interface,2059,fen1 pcna interface
1454,putative ParB Box II,2057,parb box ii
1455,CysO-CysM interaction site,2055,cyso cysm interaction site
1456,CysO-BexX interaction site,2054,cyso bexx interaction site
1457,PriL-PriS interface,2046,pril pris interface
1458,putative distal heme binding site,2040,distal heme binding site
1459,REGION: Binds crRNA.,2017,region: binds crrna
1460,BINDING: Thiamine.,1980,binding: thiamine
1461,BINDING: Thiamine; via amide nitrogen and carbonyl oxygen.,1980,binding: thiamine; via amide nitrogen and carbonyl oxygen
1462,starch-binding site 2,1970,starch binding site 2
1463,putative Skp1 binding site,1963,skp1 binding site
1464,"positions nucleophilic Asp, coordinates anionic groups of substrate",1956,"positions nucleophilic asp, coordinates anionic groups of substrate"
1465,"binds phosphate moiety of substrate, activates water",1956,"binds phosphate moiety of substrate, activates water"
1466,Zn-binding,1951,zn binding
1467,NADP(H) binding site,1951,nadp(h) binding site
1468,MOD_RES: Tryptophylquinone.,1948,mod_res: tryptophylquinone
1469,initiates catalyzed reaction via protonation of substrate,1938,initiates catalyzed reaction via protonation of substrate
1470,peptide binding pocket,1912,peptide binding pocket
1471,abstracts alpha proton from l-stereochemistry substrates,1906,abstracts alpha proton from l stereochemistry substrates
1472,abstracts alpha proton from d-stereochemistry substates,1906,abstracts alpha proton from d stereochemistry substates
1473,dimer interface (open form),1891,dimer interface (open form)
1474,allosteric switch controlling residues,1885,allosteric switch controlling residues
1475,BINDING: NAD or NADP; via carbonyl oxygen.,1882,binding: nad or nadp; via carbonyl oxygen
1476,putative catalytic site residues,1860,catalytic site residues
1477,homodecamer interface,1855,homodecamer interface
1478,GTP-CH-I/GFRP interaction surface,1853,gtp ch i/gfrp interaction surface
1479,"Mg2+ ligand, binds and orients phosphate group",1843,"mg2+ ligand, binds and orients phosphate group"
1480,Binds and orients phosphate group,1843,binds and orients phosphate group
1481,Mg2+ ligand when metal in noncatalytic position,1843,mg2+ ligand when metal in noncatalytic position
1482,"Orients Asp nucleophile, Binds and orients phosphate group",1843,"orients asp nucleophile, binds and orients phosphate group"
1483,L- A' interaction site,1832,l a' interaction site
1484,methionine cluster,1828,methionine cluster
1485,BINDING: tRNA variable arm.,1828,binding: trna variable arm
1486,activation loop,1822,activation loop
1487,L- B interaction site,1821,l b interaction site
1488,SITE: Interaction with Pro-rich sequence.,1814,site: interaction with pro rich sequence
1489,BINDING: UTP; via amide nitrogen.,1805,binding: utp; via amide nitrogen
1490,BINDING: UTP.,1805,binding: utp
1491,SITE: Important for interaction with phosphotyrosine-binding proteins.,1797,site: important for interaction with phosphotyrosine binding proteins
1492,mercury binding site,1784,mercury binding site
1493,beta-alpha-beta stucture motif,1773,beta alpha beta stucture motif
1494,NAD pyrophosphate binding region,1769,nad pyrophosphate binding region
1495,SITE: Increases the nucleophilicity of the active site Cys.,1768,site: increases the nucleophilicity of the active site cys
1496,CROSSLNK: Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin); alternate.,1767,crosslnk: glycyl lysine isopeptide (lys gly) (interchain with g cter in ubiquitin); alternate
1497,L14 interface,1754,l14 interface
1498,starch binding site 1,1750,starch binding site 1
1499,putative hexamer (dimer of trimers) interface,1750,hexamer (dimer of trimers) interface
1500,starch binding site 2,1747,starch binding site 2
1501,stabilizes transition state,1740,stabilizes transition state
1502,acid catalyst for beta elimination reaction,1717,acid catalyst for beta elimination reaction
1503,METAL: Iron (heme axial ligand); via amino nitrogen.,1715,metal: iron (heme axial ligand); via amino nitrogen
1504,CAS motifs,1712,cas motifs
1505,REGION: Binds crRNA alone and in crRNA-target DNA heteroduplex.,1710,region: binds crrna alone and in crrna target dna heteroduplex
1506,starch-binding site 1,1704,starch binding site 1
1507,ACT_SITE: For pre-crRNA processing.,1703,act_site: for pre crrna processing
1508,inhibitor binding sites,1699,inhibitor binding sites
1509,REGION: Binds crRNA in crRNA-target DNA heteroduplex.,1697,region: binds crrna in crrna target dna heteroduplex
1510,SITE: Critical for specifying symmetric addition of methyl groups.,1694,site: critical for specifying symmetric addition of methyl groups
1511,H2A-H2B dimerization interface,1684,h2a h2b dimerization interface
1512,clamp,1681,clamp
1513,3' dsDNA binding site,1678,3' dsdna binding site
1514,Na/Ca binding site,1663,na/ca binding site
1515,putative primer-binding pocket,1662,primer binding pocket
1516,homodimerization interface,1655,homodimerization interface
1517,switch II region,1635,switch ii region
1518,METAL: Zinc 1; via pros nitrogen.,1632,metal: zinc 1; via pros nitrogen
1519,putative vWF-collagen binding site,1630,vwf collagen binding site
1520,BINDING: DNA.,1629,binding: dna
1521,Subunit III/IV interface,1628,subunit iii/iv interface
1522,nucleophile: attacks phosphate moiety of substrate to form covalent intermediate; Mg2+ ligand,1626,nucleophile: attacks phosphate moiety of substrate to form covalent intermediate; mg2+ ligand
1523,NAD- and FAD-binding domain interface,1609,nad and fad binding domain interface
1524,SITE: Binds crRNA.,1604,site: binds crrna
1525,CCHH motif,1603,cchh motif
1526,putative H+/Cl- coupling transport residue,1600,h+/cl coupling transport residue
1527,binds phosphate moiety of substrate to increase elecrophilicity and facilitate nucleophilic attack,1587,binds phosphate moiety of substrate to increase elecrophilicity and facilitate nucleophilic attack
1528,Forms salt bridge with nucleophilic Asp; binds phosphate moiety of substrate to increase elecrophilicity and facilitate nucleophilic attack,1587,forms salt bridge with nucleophilic asp; binds phosphate moiety of substrate to increase elecrophilicity and facilitate nucleophilic attack
1529,putative charged binding surface,1585,charged binding surface
1530,putative homohexamer interface,1585,homohexamer interface
1531,L- D heterodimer interface,1584,l d heterodimer interface
1532,glycerol kinase (GK) interaction site,1568,glycerol kinase (gk) interaction site
1533,HPr interaction site,1568,hpr interaction site
1534,putative [2Fe-2S] cluster binding site,1565,[2fe 2s] cluster binding site
1535,Permutation of conserved domain.,1557,permutation of conserved domain
1536,PWWP sequence motif,1552,pwwp sequence motif
1537,glycoprotein Ib (GpIb) binding site,1547,glycoprotein ib (gpib) binding site
1538,relay loop,1543,relay loop
1539,CARBOHYD: N-linked (Glc...) arginine.,1538,carbohyd: n linked (glc) arginine
1540,SITE: Binds Target strand DNA; via amide nitrogen.,1537,site: binds target strand dna; via amide nitrogen
1541,interswitch region,1529,interswitch region
1542,zinc cluster 1,1520,zinc cluster 1
1543,regulatory binding site,1509,regulatory binding site
1544,REGION: Binds DNA in crRNA-target DNA heteroduplex.,1507,region: binds dna in crrna target dna heteroduplex
1545,cleft,1496,cleft
1546,B2 nucleotide binding pocket,1492,b2 nucleotide binding pocket
1547,putative [Fe4-S4] binding site,1488,[fe4 s4] binding site
1548,putative ion selectivity filter,1487,ion selectivity filter
1549,BINDING: L-lysine.,1486,binding: l lysine
1550,SITE: Binds crRNA alone and in crRNA-target DNA heteroduplex.,1479,site: binds crrna alone and in crrna target dna heteroduplex
1551,putative translocon docking site,1477,translocon docking site
1552,NADP ribose binding motif,1472,nadp ribose binding motif
1553,B1 nucleotide binding pocket,1472,b1 nucleotide binding pocket
1554,microtubule interaction site,1470,microtubule interaction site
1555,putative methyl-histone binding site,1466,methyl histone binding site
1556,putative effector interaction site,1463,effector interaction site
1557,switch I region,1461,switch i region
1558,putative RNAase interaction site,1460,rnaase interaction site
1559,BINDING: tRNA acceptor arm.,1455,binding: trna acceptor arm
1560,RpoF interaction site,1448,rpof interaction site
1561,cytochrome domain interface,1445,cytochrome domain interface
1562,MOTIF: HXXXXD motif.,1444,motif: hxxxxd motif
1563,drug-binding pocket,1443,drug binding pocket
1564,phosphotyrosine binding pocket,1426,phosphotyrosine binding pocket
1565,ubiquitin binding site,1406,ubiquitin binding site
1566,DNA-binding region,1403,dna binding region
1567,intra-domain interface,1398,intra domain interface
1568,pseudo EF-hand loop,1396,pseudo ef hand loop
1569,TFIIB interaction surface,1395,tfiib interaction surface
1570,Type 1 (T1) Cu binding site,1388,type 1 (t1) cu binding site
1571,S25 interface,1383,s25 interface
1572,DNA interaction surface,1362,dna interaction surface
1573,CROSSLNK: Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO1).,1350,crosslnk: glycyl lysine isopeptide (lys gly) (interchain with g cter in sumo1)
1574,putative Interface with L7/L12 ribosomal proteins,1348,interface with l7/l12 ribosomal proteins
1575,Zinc-binding sites,1345,zinc binding sites
1576,TFIIA interaction surface,1344,tfiia interaction surface
1577,"general acid: donates proton to leaving group, general base: activates water",1336,"general acid: donates proton to leaving group, general base: activates water"
1578,SITE: Binds Target strand DNA.,1334,site: binds target strand dna
1579,mannose binding site,1333,mannose binding site
1580,GatE binding site,1328,gate binding site
1581,helicase domain interface,1318,helicase domain interface
1582,putative heme binding pocket,1310,heme binding pocket
1583,SITE: Binds DNA protospacer adjacent motif (PAM).,1297,site: binds dna protospacer adjacent motif (pam)
1584,zinc cluster 2,1295,zinc cluster 2
1585,"Radical relay, nucleophile",1280,"radical relay, nucleophile"
1586,Radical relay,1280,radical relay
1587,putative substrate specificity switching loop,1275,substrate specificity switching loop
1588,putative serine protease binding site,1271,serine protease binding site
1589,5' RNA guide strand anchoring site,1267,5' rna guide strand anchoring site
1590,glycine-rich loop,1264,glycine rich loop
1591,putative domain interaction site,1262,domain interaction site
1592,Nucleophile,1261,nucleophile
1593,Steric,1261,steric
1594,beta subunit interaction site,1255,beta subunit interaction site
1595,integrin-collagen binding site,1249,integrin collagen binding site
1596,catalytic acid,1247,catalytic acid
1597,Active site cavity,1245,active site cavity
1598,putative tetramer interface,1242,tetramer interface
1599,putative intersubunit bridge,1240,intersubunit bridge
1600,phosphatidylinositol 3-phosphate binding site,1229,phosphatidylinositol 3 phosphate binding site
1601,putative phosphopeptide binding site,1223,phosphopeptide binding site
1602,active site/putative ARF binding site,1221,active site/putative arf binding site
1603,HipB interaction site,1221,hipb interaction site
1604,putative GDI interaction site,1221,gdi interaction site
1605,putative SdhD-like interface,1213,sdhd like interface
1606,VARP interface,1205,varp interface
1607,GAP interaction site,1203,gap interaction site
1608,RanGAP2 interaction site,1197,rangap2 interaction site
1609,BINDING: Nicotinamide ribonucleotide; via amide nitrogen.,1196,binding: nicotinamide ribonucleotide; via amide nitrogen
1610,BINDING: Diphosphate.,1196,binding: diphosphate
1611,REGION: Nicotinamide ribonucleotide binding.,1196,region: nicotinamide ribonucleotide binding
1612,BINDING: Nicotinamide ribonucleotide.,1196,binding: nicotinamide ribonucleotide
1613,SITE: Binds PAM.,1193,site: binds pam
1614,Histidine-zinc binding site,1188,histidine zinc binding site
1615,thiol/disulfide switch,1174,thiol/disulfide switch
1616,active site aspartates,1171,active site aspartates
1617,Fe(II) binding site,1167,fe(ii) binding site
1618,conserved polymerase motif B,1163,conserved polymerase motif b
1619,PB1 interaction surface,1160,pb1 interaction surface
1620,putative actin binding site,1154,actin binding site
1621,putative hydrophobic binding surface,1137,hydrophobic binding surface
1622,PB1 interaction site,1123,pb1 interaction site
1623,conserved polymerase motif C,1115,conserved polymerase motif c
1624,conserved polymerase motif A,1111,conserved polymerase motif a
1625,TnsC binding interface,1089,tnsc binding interface
1626,BINDING: Cyclosporin A.,1070,binding: cyclosporin a
1627,REGION: Cyclosporin A binding.,1070,region: cyclosporin a binding
1628,purine-binding loop,1061,purine binding loop
1629,SITE: Binds calcium which modulates its enzyme activity.,1051,site: binds calcium which modulates its enzyme activity
1630,alpha subunit interaction site,1047,alpha subunit interaction site
1631,putative lithium-binding site,1042,lithium binding site
1632,Rrp4-like subunit interface,1042,rrp4 like subunit interface
1633,putative lipid binding site,1040,lipid binding site
1634,Ca-Po4 binding site,1033,ca po4 binding site
1635,SH1 helix,1026,sh1 helix
1636,ubiquitination site,1023,ubiquitination site
1637,VapBC-5 complex,1005,vapbc 5 complex
1638,reactive site,1003,reactive site
